かんかん	怒り	0.3168736	0.20086028	2	1
かんかん	トップ	0.0538002	0.06254846	2	1
かんな	機	0.0299252	0.16814403	2	1
かんな	平面	0.0224439	0.18820277	2	1
かんな	プレーン	0.01246885	0.15341331	2	1
がた	彼	0.0541995952475	0.06506839	2	1
がた	ハード	0.0213939334138	0.047110826	2	1
がた	内容	0.0169322840423	0.06328628	2	1
がっかり	で	0.01554504844	0.133206	1	0
がっくり	彼	0.0396274	0.20825532	2	1
がっくり	自分	0.0105988	0.20735279	2	0
がっくり	号	0.00870857	0.05656084	2	1
がっしり	彼	0.114970546	0.2830528	2	1
がっしり	ハード	0.0577636	0.20826183	2	1
がっちり	最終	0.0355537	0.07377505	2	1
がっちり	で	0.0147197	0.1332362	2	0
がっちり	本	0.010692	0.11908952	2	0
がつがつ	豚	0.09294875	0.170766	2	1
がつがつ	と	0.062458	0.19048677	2	1
がつがつ	で	0.04494875	0.08492146	2	0
がやがや	と	0.0412708892131	0.16227727	2	1
がやがや	で	0.0195812655526	0.10336676	2	0
がら	採用	0.01666666	0.13575824	2	1
がらんどう	で	0.246609	0.09721213	2	0
がらんどう	中	0.00748031	0.19010088	2	1
がらんどう	年	0.00710608	0.104165256	2	0
がらんどう	内	0.00640493	0.18799788	2	1
がらんどう	市内	0.00556184	0.05848234	2	1
がりがり	と	0.13293	0.16331014	2	1
がりがり	乱暴	0.03846155	0.23550294	2	1
きざ	影	0.2548075	0.11943304	2	1
きざ	陰	0.02564105	0.11303406	2	1
きちんと	彼女	0.0132928923356	0.29604754	1	0
それ	きちんと	5.34654960065e-05	0.4443291	2	1
珍味	きっちり	0.0104166625	0.059637412	2	1
繊細	きっちり	0.002906975	0.2792979	2	1
華奢	きっちり	0.0113636375	0.124281704	2	1
燃焼	きつい	0.0027717894672	0.17841527	2	1
書き込み	きつい	0.00016889050836	0.046505366	2	1
きつい	火	0.0314136	0.07197769	1	0
きらり	が	0.002560445	0.14867744	2	0
きらり	第	0.00163508	0.19245467	2	1
きり	で	0.0216723423973	0.13744614	2	0
きり	供給	0.018181849378	0.022244195	2	1
きり	と	0.0143496998556	0.18249962	2	1
きりきり	重要	0.076087	0.11723244	2	1
きりきり	不可欠	0.0434783	0.07593031	2	1
きりきり	生き生き	0.0217391	0.17239724	2	1
ぎざぎざ	と	0.035690250024	0.15788737	2	1
ぎざぎざ	で	0.025684974315	0.0919141	2	0
ぎっしり	完全	0.03606975	0.065222315	2	1
ぎゃあ	驚き	0.020769237	0.28613234	2	1
ぎらぎら	火	0.04545455	0.1419105	1	0
ぎらり	眺め	0.0317460015873	0.23265535	2	1
試み	ぎりぎり	0.00113227292808	0.11909291	2	1
細々	ぎりぎり	0.0263736232967	0.24321015	2	1
くい	方法	0.0719425	0.1661695	2	1
くい	どう	0.0203837	0.1389575	2	0
くい	方	0.0110312	0.11124769	2	1
くい	何	0.01055155	0.14169908	2	0
くすくす	で	0.09397013	0.09247482	1	0
くそ	糞	0.0308401	0.4312383	2	1
くそ	集中	0.01818182	0.107679054	2	1
定義	くっきり	0.0002060889024	0.093404815	2	1
規定	くっきり	3.7293442656e-05	-0.013728711	2	1
くねくね	揺れ	0.0393517717593	0.23904334	2	1
くねくね	巻	0.01041665625	0.11192804	2	1
くる	来る	0.0388967485419	0.6681196	2	0
くる	来	0.0328462245831	0.43234402	2	1
紡績	くるくる	0.0097264487538	0.056536525	2	1
ラウンド	くるくる	0.00258930577045	0.13197128	2	1
ぐっすり	音	0.04537725	0.31002286	1	0
ぐらぐら	水泳	0.0457348	0.07571878	1	0
ぐるみ	と	0.0417734029466	0.18608324	2	1
ぐるみ	で	0.03003505607	0.20888235	2	0
ぐるみ	全て	0.0264059028117	0.05782936	2	1
ぐるみ	全	0.024852383038	0.16448374	2	1
ぐるり	周辺	0.441687	0.24576682	2	1
ぐるり	周囲	0.0930521	0.37484777	2	1
ぐるり	環境	0.0682382	0.1227627	2	1
ぐるり	周り	0.0136476	0.4100468	2	1
け	防止	0.01207821875	0.18647103	2	1
け	予防	0.01092790625	0.19401844	2	1
けしからん	混乱	0.25	0.2692557	2	1
けじめ	強調	0.091666575	0.3044853	2	1
けじめ	重視	0.04999995	0.22343305	2	1
けち	小さな	0.0512625	0.18837512	1	0
けち	少し	0.04360275	0.08079849	1	0
